EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EmployeeCount,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,NumCompaniesWorked,Over18,OverTime,PerformanceRating,YearsAtCompany
RM384,22,18-25,No,Travel_Rarely,Research & Development,11,Medical,1,Female,Research Scientist,2,Married,2244,Upto 5k,1,Y,No,3,2
RM444,22,18-25,Yes,Travel_Frequently,Research & Development,4,Technical Degree,1,Male,Laboratory Technician,3,Single,3894,Upto 5k,5,Y,No,3,2
RM499,22,18-25,No,Travel_Rarely,Research & Development,6,Medical,1,Male,Research Scientist,3,Married,2773,Upto 5k,0,Y,No,4,2
RM631,22,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,Manufacturing Director,4,Married,4775,Upto 5k,6,Y,No,4,2
RM667,22,18-25,Yes,Travel_Rarely,Research & Development,3,Life Sciences,1,Female,Manufacturing Director,3,Married,4171,Upto 5k,0,Y,Yes,3,3
RM735,22,18-25,No,Travel_Rarely,Research & Development,8,Life Sciences,1,Male,Laboratory Technician,1,Married,2451,Upto 5k,1,Y,No,3,4
RM861,22,18-25,Yes,Travel_Frequently,Research & Development,3,Life Sciences,1,Male,Research Scientist,4,Married,2853,Upto 5k,0,Y,Yes,3,0
RM1138,22,18-25,No,Non-Travel,Research & Development,26,Other,1,Female,Research Scientist,3,Married,2814,Upto 5k,1,Y,Yes,3,4
RM1274,22,18-25,Yes,Travel_Rarely,Research & Development,8,Medical,1,Female,Laboratory Technician,1,Married,2398,Upto 5k,1,Y,Yes,3,1
RM1340,22,18-25,Yes,Travel_Rarely,Research & Development,7,Life Sciences,1,Male,Research Scientist,2,Single,2472,Upto 5k,1,Y,Yes,4,1
RM1424,22,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,Research Scientist,3,Single,3375,Upto 5k,0,Y,No,3,3
RM087,23,18-25,No,Travel_Rarely,Sales,2,Technical Degree,1,Male,Sales Representative,1,Divorced,2322,Upto 5k,3,Y,No,3,0
RM346,23,18-25,No,Travel_Rarely,Research & Development,26,Life Sciences,1,Male,Research Scientist,4,Divorced,2904,Upto 5k,1,Y,No,3,4
RM517,23,18-25,No,Travel_Rarely,Research & Development,4,Medical,1,Male,Research Scientist,1,Married,2819,Upto 5k,2,Y,No,3,3
RM551,23,18-25,No,Travel_Rarely,Research & Development,9,Medical,1,Male,Laboratory Technician,1,Married,2500,Upto 5k,1,Y,No,3,4
RM566,23,18-25,No,Travel_Rarely,Research & Development,10,Medical,1,Male,Research Scientist,3,Single,3505,Upto 5k,1,Y,No,3,2
RM586,23,18-25,Yes,Travel_Rarely,Research & Development,6,Life Sciences,1,Male,Laboratory Technician,1,Married,1601,Upto 5k,1,Y,Yes,4,0
RM911,23,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,Research Scientist,3,Married,1223,Upto 5k,1,Y,No,4,1
RM1083,23,18-25,No,Travel_Rarely,Research & Development,20,Life Sciences,1,Male,Laboratory Technician,3,Single,2272,Upto 5k,0,Y,No,3,4
RM1128,23,18-25,No,Travel_Rarely,Research & Development,10,Technical Degree,1,Male,Research Scientist,3,Married,2073,Upto 5k,2,Y,No,3,2
RM1202,23,18-25,Yes,Travel_Rarely,Research & Development,8,Medical,1,Male,Laboratory Technician,3,Single,3989,Upto 5k,1,Y,Yes,3,5
RM1214,23,18-25,Yes,Travel_Rarely,Sales,7,Life Sciences,1,Male,Sales Representative,4,Divorced,2275,Upto 5k,1,Y,Yes,4,3
RM1239,23,18-25,No,Travel_Rarely,Research & Development,4,Medical,1,Female,Laboratory Technician,2,Single,3295,Upto 5k,1,Y,No,3,3
RM1409,23,18-25,No,Travel_Rarely,Research & Development,12,Other,1,Male,Laboratory Technician,4,Single,2647,Upto 5k,1,Y,No,3,5
RM1439,23,18-25,Yes,Travel_Frequently,Sales,9,Marketing,1,Male,Sales Representative,1,Married,1790,Upto 5k,1,Y,No,3,1
RM021,24,18-25,No,Non-Travel,Research & Development,11,Other,1,Female,Manufacturing Director,3,Divorced,4011,Upto 5k,0,Y,No,3,4
RM035,24,18-25,Yes,Travel_Rarely,Research & Development,1,Medical,1,Male,Research Scientist,4,Married,2293,Upto 5k,2,Y,Yes,3,2
RM097,24,18-25,No,Travel_Rarely,Sales,3,Other,1,Female,Sales Executive,3,Married,4999,Upto 5k,0,Y,No,4,3
RM114,24,18-25,No,Travel_Rarely,Research & Development,18,Life Sciences,1,Male,Laboratory Technician,3,Married,2774,Upto 5k,0,Y,No,3,5
RM381,24,18-25,No,Travel_Rarely,Sales,10,Marketing,1,Female,Sales Executive,3,Divorced,4260,Upto 5k,1,Y,Yes,3,5
RM415,24,18-25,Yes,Travel_Rarely,Sales,1,Technical Degree,1,Female,Sales Representative,2,Single,3202,Upto 5k,1,Y,Yes,3,5
RM471,24,18-25,No,Travel_Frequently,Sales,24,Medical,1,Male,Sales Representative,4,Married,2400,Upto 5k,0,Y,No,3,2
RM475,24,18-25,No,Travel_Rarely,Research & Development,23,Medical,1,Male,Research Scientist,4,Married,2725,Upto 5k,1,Y,Yes,3,6
RM477,24,18-25,No,Travel_Rarely,Research & Development,17,Other,1,Male,Laboratory Technician,2,Married,2127,Upto 5k,1,Y,No,4,1
RM480,24,18-25,Yes,Travel_Frequently,Research & Development,7,Life Sciences,1,Female,Laboratory Technician,3,Married,2886,Upto 5k,1,Y,Yes,3,6
RM526,24,18-25,Yes,Travel_Rarely,Sales,3,Life Sciences,1,Female,Sales Executive,3,Single,4577,Upto 5k,9,Y,No,3,2
RM587,24,18-25,No,Non-Travel,Research & Development,9,Life Sciences,1,Male,Laboratory Technician,2,Divorced,2694,Upto 5k,1,Y,No,3,1
RM641,24,18-25,No,Non-Travel,Research & Development,4,Life Sciences,1,Male,Laboratory Technician,4,Married,3162,Upto 5k,0,Y,No,3,5
RM725,24,18-25,No,Travel_Rarely,Research & Development,17,Medical,1,Female,Manufacturing Director,3,Divorced,4377,Upto 5k,1,Y,No,3,4
RM842,24,18-25,No,Travel_Rarely,Research & Development,24,Medical,1,Male,Laboratory Technician,2,Single,3597,Upto 5k,8,Y,No,4,4
RM872,24,18-25,Yes,Travel_Rarely,Research & Development,17,Life Sciences,1,Female,Laboratory Technician,2,Married,2210,Upto 5k,1,Y,No,3,1
RM1026,24,18-25,No,Travel_Rarely,Sales,4,Medical,1,Female,Sales Executive,3,Married,4162,Upto 5k,1,Y,Yes,3,5
RM1061,24,18-25,Yes,Travel_Frequently,Research & Development,9,Medical,1,Male,Laboratory Technician,1,Single,3172,Upto 5k,2,Y,Yes,3,0
RM1062,24,18-25,No,Non-Travel,Sales,13,Life Sciences,1,Female,Sales Representative,2,Married,2033,Upto 5k,1,Y,No,3,1
RM1098,24,18-25,No,Travel_Rarely,Research & Development,21,Technical Degree,1,Male,Laboratory Technician,1,Divorced,2296,Upto 5k,0,Y,No,3,1
RM1169,24,18-25,No,Travel_Frequently,Research & Development,2,Technical Degree,1,Female,Research Scientist,4,Single,3760,Upto 5k,1,Y,Yes,3,6
RM1218,24,18-25,No,Travel_Rarely,Research & Development,9,Medical,1,Male,Research Scientist,3,Married,4401,Upto 5k,1,Y,No,3,5
RM1223,24,18-25,Yes,Travel_Rarely,Human Resources,22,Human Resources,1,Male,Human Resources,3,Married,1555,Upto 5k,1,Y,No,3,1
RM1231,24,18-25,No,Travel_Rarely,Research & Development,29,Medical,1,Male,Laboratory Technician,1,Divorced,3907,Upto 5k,1,Y,No,3,6
RM1246,24,18-25,No,Travel_Frequently,Human Resources,10,Medical,1,Male,Human Resources,4,Married,2145,Upto 5k,0,Y,No,3,2
RM1408,24,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,Healthcare Representative,3,Single,4617,Upto 5k,1,Y,No,3,4
RM108,25,18-25,Yes,Travel_Rarely,Sales,5,Marketing,1,Male,Sales Executive,3,Single,5744,5k-10k,1,Y,Yes,3,6
RM109,25,18-25,No,Travel_Rarely,Research & Development,7,Medical,1,Male,Research Scientist,4,Married,2889,Upto 5k,1,Y,No,3,2
RM139,25,18-25,No,Travel_Rarely,Sales,28,Life Sciences,1,Male,Sales Executive,3,Married,8639,5k-10k,2,Y,No,3,2
RM256,25,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Female,Manufacturing Director,3,Married,4898,Upto 5k,0,Y,No,3,4
RM268,25,18-25,No,Non-Travel,Research & Development,5,Life Sciences,1,Male,Healthcare Representative,1,Divorced,4000,Upto 5k,1,Y,No,3,6
RM398,25,18-25,No,Travel_Rarely,Sales,4,Life Sciences,1,Female,Sales Executive,4,Single,4487,Upto 5k,1,Y,Yes,3,5
RM406,25,18-25,Yes,Travel_Rarely,Research & Development,3,Medical,1,Male,Laboratory Technician,1,Married,4031,Upto 5k,5,Y,No,3,2
RM479,25,18-25,No,Travel_Rarely,Sales,13,Medical,1,Male,Sales Representative,3,Married,2096,Upto 5k,1,Y,No,3,7
RM518,25,18-25,No,Travel_Rarely,Sales,8,Life Sciences,1,Male,Sales Executive,2,Married,4851,Upto 5k,0,Y,No,4,3
RM564,25,18-25,No,Travel_Rarely,Sales,26,Medical,1,Female,Sales Executive,4,Single,6180,5k-10k,1,Y,No,4,6
RM619,25,18-25,No,Travel_Rarely,Research & Development,2,Medical,1,Male,Research Scientist,1,Single,3424,Upto 5k,7,Y,No,3,4
RM635,25,18-25,No,Travel_Rarely,Sales,3,Other,1,Male,Sales Executive,1,Married,4194,Upto 5k,1,Y,Yes,3,5
RM639,25,18-25,No,Travel_Rarely,Sales,4,Marketing,1,Male,Sales Executive,1,Married,4256,Upto 5k,1,Y,No,3,5
RM684,25,18-25,Yes,Travel_Rarely,Sales,19,Marketing,1,Male,Sales Representative,2,Married,2413,Upto 5k,1,Y,Yes,3,1
RM797,25,18-25,Yes,Travel_Rarely,Research & Development,4,Technical Degree,1,Male,Laboratory Technician,4,Married,3691,Upto 5k,1,Y,Yes,3,7
RM886,25,18-25,No,Travel_Rarely,Sales,10,Life Sciences,1,Male,Sales Executive,4,Single,4950,Upto 5k,0,Y,No,3,4
RM912,25,18-25,Yes,Travel_Frequently,Sales,24,Life Sciences,1,Male,Sales Representative,4,Single,1118,Upto 5k,1,Y,Yes,3,1
RM935,25,18-25,No,Travel_Rarely,Research & Development,1,Medical,1,Female,Research Scientist,2,Single,2096,Upto 5k,1,Y,No,3,2
RM966,25,18-25,No,Travel_Rarely,Research & Development,19,Medical,1,Male,Laboratory Technician,4,Married,3669,Upto 5k,3,Y,No,3,3
RM994,25,18-25,No,Travel_Rarely,Sales,18,Life Sciences,1,Male,Sales Executive,3,Married,6232,5k-10k,2,Y,No,3,3
RM1004,25,18-25,No,Travel_Rarely,Research & Development,1,Technical Degree,1,Male,Laboratory Technician,4,Married,3229,Upto 5k,4,Y,No,3,3
RM1022,25,18-25,Yes,Travel_Rarely,Sales,9,Life Sciences,1,Male,Sales Representative,1,Married,4400,Upto 5k,3,Y,No,3,3
RM1175,25,18-25,No,Travel_Frequently,Research & Development,2,Life Sciences,1,Male,Manufacturing Director,3,Divorced,5206,5k-10k,1,Y,No,3,7
RM1412,25,18-25,No,Travel_Rarely,Human Resources,2,Human Resources,1,Female,Human Resources,2,Married,2187,Upto 5k,4,Y,No,3,2
RM1414,25,18-25,No,Travel_Rarely,Research & Development,2,Other,1,Male,Laboratory Technician,3,Divorced,3977,Upto 5k,6,Y,Yes,3,2
RM1434,25,18-25,No,Travel_Rarely,Sales,8,Other,1,Female,Sales Executive,3,Divorced,4907,Upto 5k,0,Y,Yes,4,5
RM043,26,26-35,Yes,Travel_Rarely,Research & Development,25,Life Sciences,1,Male,Laboratory Technician,3,Single,2293,Upto 5k,1,Y,No,3,1
RM055,26,26-35,No,Travel_Rarely,Sales,23,Marketing,1,Female,Sales Executive,4,Married,4157,Upto 5k,7,Y,Yes,3,2
RM126,26,26-35,No,Travel_Rarely,Research & Development,6,Other,1,Female,Research Scientist,2,Married,2368,Upto 5k,1,Y,No,3,5
RM135,26,26-35,No,Travel_Rarely,Human Resources,25,Life Sciences,1,Female,Human Resources,3,Married,2942,Upto 5k,1,Y,No,4,8
RM279,26,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,Manufacturing Director,2,Divorced,6397,5k-10k,1,Y,No,4,6
RM285,26,26-35,No,Travel_Frequently,Research & Development,11,Medical,1,Male,Healthcare Representative,1,Married,4741,Upto 5k,1,Y,Yes,3,5
RM289,26,26-35,Yes,Travel_Rarely,Research & Development,16,Medical,1,Male,Laboratory Technician,2,Divorced,2373,Upto 5k,2,Y,Yes,3,3
RM294,26,26-35,Yes,Travel_Rarely,Sales,4,Marketing,1,Male,Sales Executive,4,Single,5828,5k-10k,1,Y,Yes,3,8
RM356,26,26-35,No,Travel_Rarely,Sales,1,Life Sciences,1,Male,Sales Executive,3,Married,5296,5k-10k,1,Y,No,3,8
RM383,26,26-35,Yes,Travel_Frequently,Research & Development,3,Technical Degree,1,Male,Research Scientist,1,Single,3102,Upto 5k,0,Y,No,4,6
RM419,26,26-35,No,Travel_Rarely,Research & Development,23,Life Sciences,1,Female,Research Scientist,4,Divorced,2886,Upto 5k,1,Y,No,4,3
RM454,26,26-35,Yes,Travel_Frequently,Human Resources,17,Life Sciences,1,Female,Human Resources,3,Divorced,2741,Upto 5k,0,Y,Yes,3,7
RM461,26,26-35,No,Travel_Rarely,Sales,29,Medical,1,Male,Sales Executive,3,Divorced,4306,Upto 5k,5,Y,No,3,0
RM464,26,26-35,Yes,Travel_Rarely,Research & Development,24,Technical Degree,1,Male,Laboratory Technician,4,Single,2340,Upto 5k,1,Y,Yes,3,1
RM476,26,26-35,No,Travel_Rarely,Sales,28,Marketing,1,Male,Sales Executive,2,Married,6272,5k-10k,1,Y,No,4,5
RM506,26,26-35,No,Travel_Rarely,Research & Development,6,Life Sciences,1,Female,Laboratory Technician,4,Married,2659,Upto 5k,1,Y,Yes,3,3
RM572,26,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,Laboratory Technician,4,Divorced,4364,Upto 5k,3,Y,No,3,2
RM574,26,26-35,Yes,Travel_Rarely,Sales,8,Technical Degree,1,Male,Sales Executive,1,Single,5326,5k-10k,6,Y,No,3,4
RM615,26,26-35,Yes,Travel_Frequently,Research & Development,5,Medical,1,Female,Research Scientist,3,Married,2366,Upto 5k,1,Y,Yes,3,8
RM686,26,26-35,No,Travel_Frequently,Sales,1,Medical,1,Male,Sales Executive,1,Single,4294,Upto 5k,1,Y,No,3,7
RM734,26,26-35,No,Travel_Rarely,Research & Development,2,Medical,1,Male,Manufacturing Director,4,Married,5472,5k-10k,1,Y,No,3,8
RM749,26,26-35,Yes,Non-Travel,Sales,29,Medical,1,Male,Sales Executive,1,Single,4969,Upto 5k,8,Y,No,3,2
RM763,26,26-35,Yes,Travel_Frequently,Research & Development,2,Life Sciences,1,Male,Research Scientist,1,Married,2042,Upto 5k,6,Y,Yes,3,3
RM770,26,26-35,No,Travel_Frequently,Research & Development,1,Medical,1,Female,Research Scientist,3,Divorced,2007,Upto 5k,1,Y,No,3,5
RM782,26,26-35,No,Travel_Rarely,Research & Development,1,Medical,1,Male,Laboratory Technician,1,Married,3955,Upto 5k,1,Y,No,3,5
RM798,26,26-35,Yes,Travel_Rarely,Research & Development,21,Medical,1,Male,Laboratory Technician,3,Divorced,2377,Upto 5k,1,Y,No,4,1
RM844,26,26-35,No,Travel_Rarely,Research & Development,3,Medical,1,Male,Laboratory Technician,4,Married,4420,Upto 5k,1,Y,No,4,8
RM913,26,26-35,No,Travel_Rarely,Research & Development,4,Life Sciences,1,Male,Research Scientist,4,Single,2875,Upto 5k,1,Y,Yes,4,8
RM999,26,26-35,No,Travel_Rarely,Research & Development,2,Medical,1,Male,Research Scientist,4,Single,3904,Upto 5k,0,Y,No,3,4
RM1005,26,26-35,No,Travel_Rarely,Research & Development,7,Other,1,Male,Laboratory Technician,1,Single,3578,Upto 5k,0,Y,No,3,7
RM1119,26,26-35,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Female,Research Scientist,4,Married,2061,Upto 5k,1,Y,No,4,1
RM1207,26,26-35,No,Non-Travel,Research & Development,7,Medical,1,Male,Laboratory Technician,4,Single,2570,Upto 5k,1,Y,No,4,7
RM1225,26,26-35,No,Travel_Rarely,Research & Development,17,Medical,1,Male,Laboratory Technician,3,Married,2305,Upto 5k,1,Y,No,3,3
RM1298,26,26-35,Yes,Travel_Rarely,Human Resources,20,Medical,1,Female,Human Resources,2,Married,2148,Upto 5k,0,Y,Yes,3,5
RM1310,26,26-35,No,Travel_Rarely,Sales,10,Medical,1,Male,Sales Executive,4,Single,4684,Upto 5k,1,Y,No,3,5
RM1350,26,26-35,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Female,Research Scientist,3,Married,2933,Upto 5k,1,Y,Yes,3,1
RM1362,26,26-35,No,Travel_Frequently,Research & Development,6,Other,1,Male,Laboratory Technician,4,Married,2544,Upto 5k,0,Y,No,3,7
RM1387,26,26-35,No,Travel_Rarely,Research & Development,1,Medical,1,Male,Laboratory Technician,1,Single,2867,Upto 5k,0,Y,No,3,7
RM1465,26,26-35,No,Travel_Rarely,Sales,5,Other,1,Female,Sales Representative,3,Single,2966,Upto 5k,0,Y,No,3,4
RM1465,26,26-35,No,Travel_Rarely,Sales,5,Other,1,Female,Sales Representative,3,Single,2966,Upto 5k,0,Y,No,3,4
RM005,27,26-35,No,Travel_Rarely,Research & Development,2,Medical,1,Male,Laboratory Technician,2,Married,3468,Upto 5k,9,Y,No,3,2
RM042,27,26-35,No,Travel_Rarely,Research & Development,2,Life Sciences,1,Female,Laboratory Technician,1,Divorced,2341,Upto 5k,1,Y,No,3,1
RM044,27,26-35,No,Travel_Frequently,Sales,8,Life Sciences,1,Male,Sales Executive,3,Single,8726,5k-10k,1,Y,No,3,9
RM162,27,26-35,No,Non-Travel,Research & Development,9,Medical,1,Male,Research Scientist,2,Divorced,2024,Upto 5k,6,Y,No,3,2
RM165,27,26-35,No,Non-Travel,Research & Development,3,Medical,1,Male,Research Scientist,3,Divorced,2566,Upto 5k,1,Y,Yes,3,1
RM171,27,26-35,No,Travel_Rarely,Research & Development,17,Technical Degree,1,Male,Research Scientist,2,Married,3058,Upto 5k,0,Y,Yes,3,5
RM192,27,26-35,No,Travel_Rarely,Research & Development,9,Medical,1,Female,Research Scientist,2,Single,2279,Upto 5k,1,Y,No,3,7
RM201,27,26-35,No,Travel_Frequently,Research & Development,1,Technical Degree,1,Male,Manufacturing Director,1,Married,4298,Upto 5k,5,Y,No,3,2
RM213,27,26-35,No,Travel_Frequently,Sales,20,Life Sciences,1,Female,Sales Executive,3,Single,9981,5k-10k,1,Y,No,3,7
RM319,27,26-35,No,Travel_Rarely,Research & Development,5,Life Sciences,1,Female,Research Scientist,2,Single,2478,Upto 5k,1,Y,Yes,3,4
RM321,27,26-35,No,Travel_Rarely,Sales,2,Life Sciences,1,Male,Sales Executive,3,Single,4478,Upto 5k,1,Y,Yes,3,5
RM332,27,26-35,No,Non-Travel,Sales,1,Marketing,1,Male,Sales Executive,2,Married,6349,5k-10k,0,Y,Yes,3,5
RM340,27,26-35,No,Travel_Rarely,Sales,8,Marketing,1,Female,Sales Executive,2,Married,6214,5k-10k,1,Y,No,3,8
RM374,27,26-35,No,Travel_Rarely,Research & Development,1,Medical,1,Male,Laboratory Technician,2,Divorced,3816,Upto 5k,1,Y,No,3,5
RM486,27,26-35,No,Travel_Rarely,Research & Development,6,Medical,1,Female,Research Scientist,3,Divorced,2187,Upto 5k,0,Y,No,3,5
RM496,27,26-35,Yes,Travel_Rarely,Sales,2,Marketing,1,Male,Sales Representative,1,Divorced,3041,Upto 5k,0,Y,No,3,4
RM513,27,26-35,No,Travel_Rarely,Research & Development,3,Medical,1,Male,Research Scientist,4,Single,2045,Upto 5k,0,Y,No,3,4
RM522,27,26-35,No,Travel_Frequently,Sales,3,Medical,1,Female,Sales Executive,4,Divorced,4647,Upto 5k,1,Y,Yes,4,6
RM531,27,26-35,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Female,Manufacturing Director,1,Married,7412,5k-10k,1,Y,No,3,9
RM538,27,26-35,No,Travel_Frequently,Research & Development,10,Life Sciences,1,Male,Manufacturing Director,1,Divorced,8793,5k-10k,1,Y,No,4,9
RM555,27,26-35,No,Travel_Rarely,Research & Development,7,Medical,1,Female,Healthcare Representative,1,Single,6811,5k-10k,8,Y,No,3,7
RM577,27,26-35,No,Travel_Frequently,Sales,8,Marketing,1,Male,Sales Executive,4,Married,4342,Upto 5k,0,Y,No,3,4
